model,seed,lr,batch_size,epochs,val_ce,val_acc,val_f1,val_macro_f1
bert-base-uncased,5768,2e-05,32,22,1.6862,0.6869,0.6848,0.6382
bert-base-uncased,5768,1e-05,32,14,0.9568,0.6465,0.6555,0.6196
bert-base-uncased,5768,5e-06,32,25,1.1784,0.6591,0.6622,0.6222
bert-base-uncased,5768,2e-05,16,19,1.6403,0.6919,0.6931,0.6528
bert-base-uncased,5768,1e-05,16,15,1.2192,0.6818,0.6836,0.6482
bert-base-uncased,5768,5e-06,16,23,1.3436,0.6793,0.6764,0.6252
bert-base-uncased,5768,2e-05,8,25,1.7693,0.6843,0.6902,0.6562
bert-base-uncased,5768,1e-05,8,29,1.8168,0.6818,0.6812,0.6437
bert-base-uncased,5768,5e-06,8,19,1.3225,0.6616,0.6632,0.6196
bert-base-uncased,78516,2e-05,32,19,1.8055,0.6389,0.6427,0.6145
bert-base-uncased,78516,1e-05,32,13,1.1167,0.5859,0.5947,0.5657
bert-base-uncased,78516,5e-06,32,23,1.4566,0.5833,0.5908,0.5597
bert-base-uncased,78516,2e-05,16,13,1.5628,0.6364,0.632,0.6014
bert-base-uncased,78516,1e-05,16,13,1.1819,0.5985,0.6046,0.5819
bert-base-uncased,78516,5e-06,16,27,1.8501,0.5884,0.595,0.5623
bert-base-uncased,78516,2e-05,8,23,2.3292,0.6414,0.6441,0.6182
bert-base-uncased,78516,1e-05,8,28,2.3631,0.6313,0.6298,0.5939
bert-base-uncased,78516,5e-06,8,27,2.1107,0.6338,0.6272,0.5915
bert-base-uncased,944601,2e-05,32,25,1.9773,0.6389,0.6416,0.623
bert-base-uncased,944601,1e-05,32,29,1.6879,0.649,0.6536,0.637
bert-base-uncased,944601,5e-06,32,37,1.5184,0.6364,0.639,0.6199
bert-base-uncased,944601,2e-05,16,16,1.6399,0.6515,0.6505,0.6288
bert-base-uncased,944601,1e-05,16,19,1.5418,0.6414,0.6445,0.6253
bert-base-uncased,944601,5e-06,16,29,1.5279,0.6414,0.6432,0.623
bert-base-uncased,944601,2e-05,8,30,2.177,0.6616,0.661,0.6404
bert-base-uncased,944601,1e-05,8,11,0.9225,0.6263,0.6326,0.6141
bert-base-uncased,944601,5e-06,8,16,1.1253,0.6439,0.6464,0.6252
bert-large-uncased,5768,2e-05,32,14,1.2974,0.6995,0.7008,0.684
bert-large-uncased,5768,1e-05,32,18,1.3856,0.6919,0.689,0.6622
bert-large-uncased,5768,5e-06,32,32,1.5042,0.6919,0.6941,0.6694
bert-large-uncased,5768,2e-05,16,11,0.9262,0.6439,0.6509,0.6354
bert-large-uncased,5768,1e-05,16,20,1.6323,0.6919,0.6916,0.6702
bert-large-uncased,5768,5e-06,16,17,1.0895,0.697,0.7002,0.6791
bert-large-uncased,5768,2e-05,8,23,1.3775,0.7121,0.7125,0.6952
bert-large-uncased,5768,1e-05,8,18,1.4851,0.7121,0.71,0.6833
bert-large-uncased,5768,5e-06,8,13,0.9922,0.6894,0.6937,0.6689
bert-large-uncased,78516,2e-05,32,16,1.4679,0.654,0.6501,0.6316
bert-large-uncased,78516,1e-05,32,16,1.1452,0.6364,0.6393,0.618
bert-large-uncased,78516,5e-06,32,34,1.54,0.649,0.6514,0.6294
bert-large-uncased,78516,2e-05,16,13,1.108,0.7071,0.7042,0.6844
bert-large-uncased,78516,1e-05,16,29,1.66,0.6667,0.6717,0.6578
bert-large-uncased,78516,5e-06,16,22,1.3596,0.6439,0.6445,0.6264
bert-large-uncased,78516,2e-05,8,8,1.0665,0.5126,0.4149,0.346
bert-large-uncased,78516,1e-05,8,13,1.2347,0.6641,0.6671,0.6483
bert-large-uncased,78516,5e-06,8,18,1.3766,0.6212,0.6228,0.6016
bert-large-uncased,944601,2e-05,32,14,1.2075,0.6944,0.6922,0.6705
bert-large-uncased,944601,1e-05,32,25,1.4644,0.6768,0.6774,0.6549
bert-large-uncased,944601,5e-06,32,22,1.2621,0.6439,0.6469,0.6196
