model,phrase,gold,hit,top5
roberta-large,Accommodative [MASK] policy,monetary,False,immigration|visa|migration|tax|foreign
roberta-large,Asset [MASK] program,purchase,False,management|enhancement|recycling|allocation|recovery
roberta-large,Balance [MASK] payments,of,True,of|sheet|card|and|transfer
roberta-large,Bank [MASK] International Settlements,for,True,for|of|for|for|of
roberta-large,Basel [MASK] on Banking Supervision,committee,True,committee|principles|agreement|treaty|convention
roberta-large,Bretton [MASK] system,woods,False,'s|delivery|security|alarm|heating
roberta-large,Capital [MASK] ratio,adequacy,False,ization|payout|base|coverage|leverage
roberta-large,Central [MASK] (CCP),counterparties,False,committee|press|casting|bank|europe
roberta-large,Central [MASK] balance sheet,bank,True,bank|bank|banks|banking|european
roberta-large,Central [MASK] digital currency,bank,True,bank|european|ized|izing|europe
roberta-large,Collateralized [MASK] obligation,debt,True,debt|loan|contingent|note|derivative
roberta-large,Committee [MASK] Payments and Market Infrastructure,on,True,"on|:|for|,|of"
roberta-large,Commodity [MASK] index,price,True,price|prices|volatility|market|cost
roberta-large,Contractionary [MASK] policy,monetary,True,fiscal|monetary|trade|tax|foreign
roberta-large,Core [MASK] price index,consumer,True,consumer|home|house|wholesale|consumer
roberta-large,Countercyclical [MASK] buffer,capital,False,buffer|risk|error|cash|growth
roberta-large,Credit [MASK] swap,default,True,default|default|default|rating|asset
roberta-large,Cross-Currency [MASK] Swaps,basis,False,swap|credit|fx|currency|price
roberta-large,Currency [MASK] of reserves,composition,False,value|valuation|translation|value|conversion
roberta-large,Decentralized [MASK] (DeFi),finance,True,framework|foundation|finance|funds|file
roberta-large,Distributed [MASK] technology,ledger,True,storage|ledger|sensing|information|database
roberta-large,Domestic [MASK] important bank,systemically,False,"and|most|,|but|strategically"
roberta-large,Effective [MASK] bound,lower,True,lower|upper|time|higher|weight
roberta-large,Effective [MASK] funds rate,federal,True,federal|fed|fed|federal|prime
roberta-large,Effective [MASK] rate,exchange,False,tax|discount|unemployment|growth|marginal
roberta-large,Efficient [MASK] hypothesis,market,False,distribution|energy|design|optimization|search
roberta-large,Emerging [MASK] and developing economies,market,True,markets|market|market|nations|markets
roberta-large,Emerging [MASK] economies,market,True,market|asian|market|markets|european
roberta-large,European [MASK] Bank,central,True,central|investment|development|central|central
roberta-large,Exchange [MASK] pass-through,rate,False,of|and|for|:|via
roberta-large,Exchange [MASK] regime,rate,True,rate|control|rates|rate|reserve
roberta-large,Expansionary [MASK] policy,monetary,True,fiscal|monetary|trade|economic|tax
roberta-large,Financial [MASK] board,stability,False,advisory|services|regulatory|planning|oversight
roberta-large,Fixed [MASK] rate,exchange,True,exchange|interest|deposit|lending|discount
roberta-large,Floating [MASK] rate,exchange,True,interest|exchange|discount|swap|account
roberta-large,Foreign [MASK] intervention,exchange,False,military|direct|political|policy|economic
roberta-large,Foreign [MASK] investment,direct,True,direct|portfolio|direct|institutional|indirect
roberta-large,Foreign [MASK] reserves,exchange,True,exchange|currency|exchange|account|gold
roberta-large,Global [MASK] important banks,systemically,False,most|and|strategically|politically|ally
roberta-large,Gross [MASK] debt,external,True,national|public|domestic|government|external
roberta-large,Gross [MASK] product,domestic,True,of|domestic|finished|ing|end
roberta-large,Interbank [MASK] rate,offered,True,offered|lending|offer|offering|interest
roberta-large,Interest [MASK] on deposit facility,rate,True,rate|paid|payable|rates|earned
roberta-large,Interest [MASK] on excess reserves,rate,False,paid|earned|payments|payable|accrued
roberta-large,Interest [MASK] parity,rate,True,rate|rates|on|rate|cost
roberta-large,Interest [MASK] risk,rate,True,rate|rates|rate|ing|payment
roberta-large,Interest [MASK] swap,rate,True,rate|rates|rate|on|bearing
roberta-large,Interest [MASK] targeting,rate,True,ing|in|and|ed|rate
roberta-large,International [MASK] Fund,monetary,True,monetary|wildlife|development|marshall|population
roberta-large,International [MASK] of Insurance Supervisors,association,True,association|council|federation|institute|society
roberta-large,International [MASK] position,investment,False,legal|negotiating|political|diplomatic|trade
roberta-large,Inverted [MASK] curve,yield,True,bell|yield|torque|power|growth
roberta-large,Labor [MASK] participation rate,force,True,force|market|force|force|union
roberta-large,Lender [MASK] last resort,of,True,"of|'s|,|as|is"
roberta-large,Liquidity [MASK] test,stress,True,stress|tolerance|field|water|of
roberta-large,London [MASK] Offered Rate,interbank,False,times|government|standard|exchange|national
roberta-large,Long-term [MASK] operation,refinancing,False,business|sustainable|commercial|financial|planned
roberta-large,Long-term [MASK] rates,interest,True,interest|mortgage|borrowing|lending|discount
roberta-large,Macroprudential [MASK] measures,policy,False,reform|stability|support|supervision|intervention
roberta-large,Main [MASK] operation,refinancing,False,tenance|stream|frame|line|business
roberta-large,Marginal [MASK] facility,lending,False,parking|ized|storage|grade|rated
roberta-large,Monetary [MASK] committee,policy,True,policy|affairs|policy|reform|oversight
roberta-large,Monetary [MASK] framework,policy,True,policy|reform|governance|legal|regulatory
roberta-large,Monetary [MASK] stance,policy,True,policy|policy|easing|tightening|union
roberta-large,Monetary [MASK] transmission,policy,True,policy|value|information|power|currency
roberta-large,Natural [MASK] of interest,rate,False,resources|areas|phenomena|hazards|features
roberta-large,Natural [MASK] of unemployment,rate,True,causes|cycles|rate|rates|sources
roberta-large,Negative [MASK] rates,interest,True,interest|exchange|growth|real|deposit
roberta-large,Net [MASK] debt,external,True,external|financial|outstanding|foreign|operating
roberta-large,Neutral [MASK] policy,monetary,True,foreign|energy|tax|monetary|fiscal
roberta-large,Nominal [MASK] rate,exchange,False,unemployment|suicide|growth|error|discount
roberta-large,Non-accelerating [MASK] rate of unemployment,inflation,False,annual|national|trend|real|headline
roberta-large,Non-bank [MASK] institution,financial,True,financial|credit|lending|financial|payment
roberta-large,Non-bank [MASK] intermediation,credit,True,financial|payment|credit|cash|banking
roberta-large,Open [MASK] operations,market,False,source|for|to|all|house
roberta-large,Overnight [MASK] facility,deposit,False,storage|parking|transit|lodging|stay
roberta-large,Overnight [MASK] swap,index,True,index|indexed|overnight|prime|gold
roberta-large,Pegged [MASK] rate,exchange,True,exchange|interest|discount|growth|inflation
roberta-large,Producer [MASK] index,price,True,price|'s|prices|cost|confidence
roberta-large,Purchasing [MASK] parity,power,True,power|power|price|cost|in
roberta-large,Real [MASK] exchange rate,effective,True,currency|dollar|effective|foreign|market
roberta-large,Real [MASK] rate,exchange,True,growth|exchange|interest|unemployment|savings
roberta-large,Safe [MASK] assets,haven,True,haven|liquid|financial|haven|market
roberta-large,Secured [MASK] financing rate,overnight,False,debt|note|loan|variable|at
roberta-large,Short-term [MASK] rates,interest,True,interest|lending|mortgage|borrowing|funding
roberta-large,Sovereign [MASK] crisis,debt,True,debt|in|currency|financial|banking
roberta-large,Sovereign [MASK] fund,wealth,True,wealth|pension|defense|defence|guarantee
roberta-large,Special [MASK] Rights,drawing,False,voting|constitutional|property|access|interest
roberta-large,Special [MASK] vehicle,purpose,True,ist|ized|edition|purpose|ty
roberta-large,Systemically [MASK] financial institution,important,True,important|significant|dangerous|important|risky
roberta-large,Targeted [MASK] refinancing operations,longer,False,debt|loan|mortgage|bond|for
roberta-large,Terms [MASK] trade,of,True,of|for|and|to|on
roberta-large,Tier [MASK] capital,1,True,1|2|3|i|one
roberta-large,Tight [MASK] policy,monetary,True,ening|ened|monetary|en|fiscal
roberta-large,Too [MASK] to fail,big,True,big|good|expensive|smart|great
roberta-large,Unconventional [MASK] policy,monetary,True,foreign|monetary|economic|trade|energy
roberta-large,Value [MASK] Risk,at,True,and|of|at|from|without
roberta-large,Velocity [MASK] money,of,True,of|and|is|=|equals
roberta-large,Yield [MASK] control,curve,False,and|to|of|s|versus
roberta-large,Zero [MASK] bound,lower,True,upper|lower|time|the|er
dapt-fomc,Accommodative [MASK] policy,monetary,True,monetary|fiscal|economic|financial|foreign
dapt-fomc,Asset [MASK] program,purchase,True,purchase|sales|sale|purchases|purchase
