model,phrase,gold,hit,top5
bert-base,Accommodative [MASK] policy,monetary,False,health|drug|justice|environment|care
bert-base,Asset [MASK] program,purchase,False,management|recovery|protection|security|loan
bert-base,Balance [MASK] payments,of,True,of|for|on|sheet|check
bert-base,Bank [MASK] International Settlements,for,True,of|for|on|and|to
bert-base,Basel [MASK] on Banking Supervision,committee,True,convention|conference|agreement|committee|commission
bert-base,Bretton [MASK] system,woods,True,woods|##hall|park|bay|root
bert-base,Capital [MASK] ratio,adequacy,False,cost|expenditure|##ization|benefit|loss
bert-base,Central [MASK] (CCP),counterparties,False,committee|party|branch|government|constituency
bert-base,Central [MASK] balance sheet,bank,True,bank|reserve|banks|american|financial
bert-base,Central [MASK] digital currency,bank,True,bank|asian|currency|asia|european
bert-base,Collateralized [MASK] obligation,debt,True,debt|loan|credit|asset|mortgage
bert-base,Committee [MASK] Payments and Market Infrastructure,on,True,on|for|of|:|-
bert-base,Commodity [MASK] index,price,True,futures|market|price|exchange|markets
bert-base,Contractionary [MASK] policy,monetary,True,economic|fiscal|monetary|trade|energy
bert-base,Core [MASK] price index,consumer,True,share|asset|consumer|stock|energy
bert-base,Countercyclical [MASK] buffer,capital,False,water|buffer|-|flow|heat
bert-base,Credit [MASK] swap,default,True,default|card|union|derivatives|risk
bert-base,Cross-Currency [MASK] Swaps,basis,False,currency|exchange|commodity|swap|futures
bert-base,Currency [MASK] of reserves,composition,False,number|list|percentage|value|bank
bert-base,Decentralized [MASK] (DeFi),finance,False,economy|infrastructure|democracy|initiative|industries
bert-base,Distributed [MASK] technology,ledger,False,computing|information|learning|knowledge|storage
bert-base,Domestic [MASK] important bank,systemically,False,"and|bank|most|-|,"
bert-base,Effective [MASK] bound,lower,True,upper|lower|maximum|time|volume
bert-base,Effective [MASK] funds rate,federal,True,reserve|pension|federal|public|trust
bert-base,Effective [MASK] rate,exchange,False,literacy|growth|fertility|flow|success
bert-base,Efficient [MASK] hypothesis,market,False,design|learning|selection|distribution|search
bert-base,Emerging [MASK] and developing economies,market,False,markets|economies|countries|states|nations
bert-base,Emerging [MASK] economies,market,True,market|world|developed|model|capitalist
bert-base,European [MASK] Bank,central,True,development|investment|central|commercial|integration
bert-base,Exchange [MASK] pass-through,rate,False,-|and|/|:|system
