model,corpus,seed,epochs,weighted_f1,macro_f1
random,twd,5768,,0.3141,0.3025
random,twd,78516,,0.3307,0.3177
random,twd,944601,,0.373,0.3517
always-neutral,twd,5768,,0.3266,0.2204
always-neutral,twd,78516,,0.2938,0.2112
always-neutral,twd,944601,,0.3311,0.2216
rule-based,twd,5768,,0.5234,0.4928
rule-based,twd,78516,,0.5181,0.4914
rule-based,twd,944601,,0.5079,0.4711
bow,twd,5768,,0.5713,0.5456
bow,twd,78516,,0.6053,0.5874
bow,twd,944601,,0.5696,0.5445
zero-shot:claude-haiku-4-5,twd,5768,,0.6408,0.6102
zero-shot:claude-haiku-4-5,twd,78516,,0.6065,0.5849
zero-shot:claude-haiku-4-5,twd,944601,,0.6145,0.5812
zero-shot:claude-sonnet-5,twd,5768,,0.6682,0.6489
zero-shot:claude-sonnet-5,twd,78516,,0.6879,0.6822
zero-shot:claude-sonnet-5,twd,944601,,0.6753,0.6576
zero-shot:claude-opus-4-8,twd,5768,,0.688,0.6739
zero-shot:claude-opus-4-8,twd,78516,,0.6693,0.6633
zero-shot:claude-opus-4-8,twd,944601,,0.6739,0.6588
frozen:bert-base-uncased,twd,78516,,0.6289,0.6115
frozen:bert-base-uncased,twd,944601,,0.5994,0.5696
frozen:bert-large-uncased,twd,5768,,0.5541,0.525
frozen:bert-large-uncased,twd,78516,,0.6151,0.5981
frozen:bert-large-uncased,twd,944601,,0.6016,0.5725
frozen:bert-base-uncased,twd,5768,,0.5697,0.5388
frozen:roberta-base,twd,5768,,0.6158,0.5923
frozen:roberta-base,twd,78516,,0.6304,0.608
frozen:roberta-base,twd,944601,,0.634,0.6045
frozen:roberta-large,twd,5768,,0.6202,0.5954
frozen:roberta-large,twd,78516,,0.6291,0.6129
frozen:roberta-large,twd,944601,,0.6333,0.6077
frozen:flang-bert,twd,5768,,0.5903,0.5655
frozen:flang-bert,twd,78516,,0.6177,0.5973
frozen:flang-bert,twd,944601,,0.5707,0.5352
frozen:flang-roberta,twd,5768,,0.5868,0.564
frozen:flang-roberta,twd,78516,,0.6149,0.5932
frozen:flang-roberta,twd,944601,,0.6239,0.6007
bert-base-uncased,twd,5768,12.0,0.6304,0.6147
bert-base-uncased,twd,78516,14.0,0.6512,0.6336
bert-base-uncased,twd,944601,12.0,0.6427,0.6113
bert-large-uncased,twd,5768,18.0,0.599,0.5751
bert-large-uncased,twd,78516,20.0,0.6476,0.63
bert-large-uncased,twd,944601,15.0,0.6539,0.6296
roberta-base,twd,5768,19.0,0.6727,0.6519
roberta-base,twd,78516,11.0,0.6611,0.6473
roberta-base,twd,944601,18.0,0.6943,0.6734
roberta-large,twd,5768,15.0,0.6981,0.6823
roberta-large,twd,78516,20.0,0.7235,0.7163
roberta-large,twd,944601,22.0,0.7311,0.7221
flang-bert,twd,5768,11.0,0.6538,0.6355
flang-bert,twd,78516,16.0,0.6481,0.6319
flang-bert,twd,944601,22.0,0.6575,0.6358
flang-roberta,twd,5768,12.0,0.6617,0.639
flang-roberta,twd,78516,10.0,0.6792,0.6651
flang-roberta,twd,944601,24.0,0.6885,0.666
zero-shot:claude-fable-5,twd,5768,,0.6798,0.6684
zero-shot:claude-fable-5,twd,78516,,0.6736,0.6707
zero-shot:claude-fable-5,twd,944601,,0.6993,0.6903
word2vec,twd,5768,,0.5733,0.5464
word2vec,twd,78516,,0.5619,0.5413
word2vec,twd,944601,,0.5752,0.5498
bert-base-uncased,twd-chrono,78516,14.0,0.6384,0.5884
bert-large-uncased,twd-chrono,78516,11.0,0.679,0.6326
roberta-base,twd-chrono,78516,15.0,0.6816,0.6454
roberta-large,twd-chrono,78516,12.0,0.7153,0.692
flang-bert,twd-chrono,78516,13.0,0.6532,0.6039
flang-roberta,twd-chrono,78516,13.0,0.6744,0.6293
frozen:bert-base-uncased,twd-chrono,78516,,0.6042,0.5531
frozen:bert-large-uncased,twd-chrono,78516,,0.6273,0.5706
frozen:roberta-base,twd-chrono,78516,,0.6471,0.5889
lora-r1:roberta-large,twd,5768,17.0,0.6873,0.684
lora-r1:roberta-large,twd,78516,23.0,0.6982,0.69
lora-r1:roberta-large,twd,944601,17.0,0.717,0.7043
lora-r4:roberta-large,twd,5768,20.0,0.6861,0.6722
lora-r4:roberta-large,twd,78516,24.0,0.6935,0.6871
lora-r4:roberta-large,twd,944601,11.0,0.6712,0.663
lora-r16:roberta-large,twd,5768,29.0,0.674,0.659
lora-r16:roberta-large,twd,78516,30.0,0.7282,0.7201
lora-r16:roberta-large,twd,944601,16.0,0.693,0.6739
lora-r64:roberta-large,twd,5768,15.0,0.6665,0.651
